"Step","cart-pole-rloo-baseline-2025-03-11-22-51-17 - train/total_episode_reward","cart-pole-rloo-baseline-2025-03-11-22-51-17 - train/total_episode_reward__MIN","cart-pole-rloo-baseline-2025-03-11-22-51-17 - train/total_episode_reward__MAX","cart-pole-rloo-baseline-2025-03-11-21-44-33 - train/total_episode_reward","cart-pole-rloo-baseline-2025-03-11-21-44-33 - train/total_episode_reward__MIN","cart-pole-rloo-baseline-2025-03-11-21-44-33 - train/total_episode_reward__MAX","cart-pole-rloo-baseline-2025-03-11-20-34-19 - train/total_episode_reward","cart-pole-rloo-baseline-2025-03-11-20-34-19 - train/total_episode_reward__MIN","cart-pole-rloo-baseline-2025-03-11-20-34-19 - train/total_episode_reward__MAX","cart-pole-rloo-baseline-2025-03-11-19-43-34 - train/total_episode_reward","cart-pole-rloo-baseline-2025-03-11-19-43-34 - train/total_episode_reward__MIN","cart-pole-rloo-baseline-2025-03-11-19-43-34 - train/total_episode_reward__MAX","cart-pole-rloo-baseline-2025-03-11-18-36-30 - train/total_episode_reward","cart-pole-rloo-baseline-2025-03-11-18-36-30 - train/total_episode_reward__MIN","cart-pole-rloo-baseline-2025-03-11-18-36-30 - train/total_episode_reward__MAX"
"62","59","59","59","147","147","147","73","73","73","108","108","108","41","41","41"
"63","106","106","106","115","115","115","160","160","160","107","107","107","108","108","108"
"64","150","150","150","62","62","62","80","80","80","182","182","182","134","134","134"
"65","80","80","80","100","100","100","244","244","244","157","157","157","88","88","88"
"66","131","131","131","23","23","23","105","105","105","132","132","132","123","123","123"
"67","38","38","38","89","89","89","64","64","64","150","150","150","64","64","64"
"68","55","55","55","87","87","87","97","97","97","190","190","190","104","104","104"
"69","182","182","182","148","148","148","68","68","68","217","217","217","83","83","83"
"70","57","57","57","123","123","123","33","33","33","232","232","232","69","69","69"
"71","25","25","25","112","112","112","106","106","106","190","190","190","98","98","98"
"72","50","50","50","82","82","82","133","133","133","200","200","200","63","63","63"
"73","146","146","146","100","100","100","146","146","146","213","213","213","104","104","104"
"74","67","67","67","84","84","84","76","76","76","139","139","139","161","161","161"
"75","31","31","31","67","67","67","86","86","86","226","226","226","91","91","91"
"76","57","57","57","98","98","98","117","117","117","121","121","121","78","78","78"
"77","143","143","143","86","86","86","74","74","74","244","244","244","73","73","73"
"78","38","38","38","74","74","74","57","57","57","109","109","109","114","114","114"
"79","45","45","45","120","120","120","61","61","61","90","90","90","72","72","72"
"80","149","149","149","124","124","124","86","86","86","160","160","160","68","68","68"
"81","69","69","69","87","87","87","196","196","196","115","115","115","102","102","102"
"82","41","41","41","121","121","121","154","154","154","120","120","120","135","135","135"
"83","59","59","59","113","113","113","131","131","131","277","277","277","94","94","94"
"84","36","36","36","9","9","9","21","21","21","69","69","69","109","109","109"
"85","181","181","181","99","99","99","249","249","249","132","132","132","73","73","73"
"86","167","167","167","95","95","95","77","77","77","224","224","224","105","105","105"
"87","98","98","98","102","102","102","85","85","85","178","178","178","121","121","121"
"88","149","149","149","31","31","31","59","59","59","150","150","150","94","94","94"
"89","110","110","110","277","277","277","126","126","126","208","208","208","156","156","156"
"90","105","105","105","182","182","182","213","213","213","128","128","128","239","239","239"
"91","219","219","219","27","27","27","51","51","51","142","142","142","85","85","85"
"92","77","77","77","78","78","78","143","143","143","165","165","165","111","111","111"
"93","125","125","125","134","134","134","108","108","108","129","129","129","63","63","63"
"94","108","108","108","155","155","155","97","97","97","233","233","233","106","106","106"
"95","173","173","173","182","182","182","209","209","209","83","83","83","45","45","45"
"96","124","124","124","172","172","172","119","119","119","89","89","89","91","91","91"
"97","68","68","68","222","222","222","156","156","156","164","164","164","207","207","207"
"98","73","73","73","161","161","161","80","80","80","104","104","104","318","318","318"
"99","308","308","308","143","143","143","202","202","202","117","117","117","224","224","224"
"100","89","89","89","108","108","108","128","128","128","194","194","194","162","162","162"
"101","225","225","225","245","245","245","54","54","54","227","227","227","196","196","196"
"102","132","132","132","167","167","167","82","82","82","245","245","245","186","186","186"
"103","86","86","86","133","133","133","87","87","87","129","129","129","146","146","146"
"104","187","187","187","140","140","140","119","119","119","118","118","118","193","193","193"
"105","69","69","69","162","162","162","162","162","162","104","104","104","186","186","186"
"106","62","62","62","124","124","124","161","161","161","122","122","122","164","164","164"
"107","137","137","137","434","434","434","70","70","70","153","153","153","258","258","258"
"108","67","67","67","138","138","138","95","95","95","169","169","169","225","225","225"
"109","94","94","94","916","916","916","122","122","122","176","176","176","299","299","299"
"110","150","150","150","1000","1000","1000","71","71","71","107","107","107","211","211","211"
"111","70","70","70","245","245","245","106","106","106","564","564","564","248","248","248"
"112","247","247","247","107","107","107","195","195","195","205","205","205","195","195","195"
"113","60","60","60","250","250","250","361","361","361","86","86","86","315","315","315"
"114","96","96","96","181","181","181","155","155","155","333","333","333","323","323","323"
"115","196","196","196","180","180","180","144","144","144","187","187","187","405","405","405"
"116","166","166","166","429","429","429","79","79","79","106","106","106","296","296","296"
"117","272","272","272","184","184","184","158","158","158","51","51","51","387","387","387"
"118","94","94","94","533","533","533","296","296","296","325","325","325","730","730","730"
"119","231","231","231","686","686","686","131","131","131","101","101","101","170","170","170"
"120","78","78","78","219","219","219","224","224","224","98","98","98","485","485","485"
"121","122","122","122","204","204","204","121","121","121","98","98","98","64","64","64"
"122","112","112","112","175","175","175","128","128","128","93","93","93","1000","1000","1000"
"123","97","97","97","157","157","157","141","141","141","154","154","154","633","633","633"
"124","195","195","195","466","466","466","172","172","172","158","158","158","154","154","154"
"125","104","104","104","132","132","132","153","153","153","83","83","83","230","230","230"
"126","111","111","111","138","138","138","261","261","261","96","96","96","291","291","291"
"127","263","263","263","199","199","199","228","228","228","112","112","112","385","385","385"
"128","129","129","129","235","235","235","180","180","180","81","81","81","1000","1000","1000"
"129","313","313","313","242","242","242","244","244","244","133","133","133","475","475","475"
"130","86","86","86","195","195","195","281","281","281","148","148","148","805","805","805"
"131","200","200","200","160","160","160","533","533","533","159","159","159","1000","1000","1000"
"132","169","169","169","152","152","152","304","304","304","240","240","240","1000","1000","1000"
"133","77","77","77","195","195","195","310","310","310","120","120","120","1000","1000","1000"
"134","83","83","83","299","299","299","102","102","102","123","123","123","583","583","583"
"135","132","132","132","238","238","238","279","279","279","43","43","43","641","641","641"
"136","58","58","58","149","149","149","298","298","298","112","112","112","375","375","375"
"137","80","80","80","272","272","272","160","160","160","244","244","244","292","292","292"
"138","64","64","64","218","218","218","140","140","140","144","144","144","1000","1000","1000"
"139","60","60","60","150","150","150","331","331","331","129","129","129","161","161","161"
"140","253","253","253","206","206","206","358","358","358","73","73","73","446","446","446"
"141","52","52","52","163","163","163","451","451","451","161","161","161","1000","1000","1000"
"142","93","93","93","425","425","425","806","806","806","214","214","214","1000","1000","1000"
"143","62","62","62","204","204","204","309","309","309","184","184","184","809","809","809"
"144","75","75","75","164","164","164","590","590","590","443","443","443","375","375","375"
"145","256","256","256","250","250","250","674","674","674","188","188","188","649","649","649"
"146","72","72","72","286","286","286","1000","1000","1000","162","162","162","1000","1000","1000"
"147","76","76","76","290","290","290","550","550","550","125","125","125","1000","1000","1000"
"148","78","78","78","179","179","179","336","336","336","677","677","677","963","963","963"
"149","63","63","63","289","289","289","193","193","193","151","151","151","999","999","999"
"150","47","47","47","436","436","436","364","364","364","121","121","121","745","745","745"
"151","68","68","68","391","391","391","332","332","332","164","164","164","1000","1000","1000"
"152","81","81","81","519","519","519","1000","1000","1000","110","110","110","698","698","698"
"153","160","160","160","343","343","343","793","793","793","82","82","82","574","574","574"
"154","85","85","85","510","510","510","738","738","738","183","183","183","1000","1000","1000"
"155","101","101","101","448","448","448","1000","1000","1000","331","331","331","1000","1000","1000"
"156","89","89","89","766","766","766","1000","1000","1000","349","349","349","1000","1000","1000"
"157","134","134","134","877","877","877","1000","1000","1000","178","178","178","1000","1000","1000"
"158","58","58","58","1000","1000","1000","1000","1000","1000","215","215","215","1000","1000","1000"
"159","119","119","119","1000","1000","1000","1000","1000","1000","210","210","210","435","435","435"
"160","131","131","131","1000","1000","1000","1000","1000","1000","168","168","168","1000","1000","1000"
"161","75","75","75","1000","1000","1000","1000","1000","1000","642","642","642","1000","1000","1000"
"162","76","76","76","796","796","796","1000","1000","1000","484","484","484","1000","1000","1000"
"163","80","80","80","1000","1000","1000","1000","1000","1000","212","212","212","1000","1000","1000"
"164","105","105","105","973","973","973","1000","1000","1000","304","304","304","1000","1000","1000"
"165","51","51","51","1000","1000","1000","934","934","934","303","303","303","1000","1000","1000"
"166","53","53","53","1000","1000","1000","485","485","485","216","216","216","1000","1000","1000"
"167","105","105","105","1000","1000","1000","464","464","464","414","414","414","716","716","716"
"168","73","73","73","1000","1000","1000","696","696","696","405","405","405","327","327","327"
"169","56","56","56","1000","1000","1000","584","584","584","292","292","292","1000","1000","1000"
"170","65","65","65","1000","1000","1000","541","541","541","460","460","460","153","153","153"
"171","116","116","116","1000","1000","1000","613","613","613","79","79","79","1000","1000","1000"
"172","41","41","41","1000","1000","1000","704","704","704","935","935","935","1000","1000","1000"
"173","64","64","64","1000","1000","1000","541","541","541","867","867","867","1000","1000","1000"
"174","95","95","95","1000","1000","1000","301","301","301","123","123","123","824","824","824"
"175","54","54","54","1000","1000","1000","575","575","575","478","478","478","618","618","618"
"176","53","53","53","1000","1000","1000","459","459","459","360","360","360","1000","1000","1000"
"177","69","69","69","1000","1000","1000","689","689","689","574","574","574","1000","1000","1000"
"178","74","74","74","1000","1000","1000","428","428","428","547","547","547","1000","1000","1000"
"179","68","68","68","1000","1000","1000","1000","1000","1000","244","244","244","1000","1000","1000"
"180","53","53","53","1000","1000","1000","1000","1000","1000","273","273","273","1000","1000","1000"
"181","114","114","114","1000","1000","1000","1000","1000","1000","393","393","393","1000","1000","1000"
"182","77","77","77","1000","1000","1000","1000","1000","1000","237","237","237","364","364","364"
"183","136","136","136","1000","1000","1000","1000","1000","1000","352","352","352","1000","1000","1000"
"184","66","66","66","634","634","634","1000","1000","1000","422","422","422","1000","1000","1000"
"185","112","112","112","1000","1000","1000","1000","1000","1000","338","338","338","1000","1000","1000"
"186","92","92","92","1000","1000","1000","1000","1000","1000","191","191","191","1000","1000","1000"
"187","58","58","58","1000","1000","1000","1000","1000","1000","217","217","217","1000","1000","1000"
"188","145","145","145","1000","1000","1000","1000","1000","1000","200","200","200","1000","1000","1000"
"189","48","48","48","1000","1000","1000","1000","1000","1000","149","149","149","1000","1000","1000"
"190","121","121","121","1000","1000","1000","1000","1000","1000","203","203","203","1000","1000","1000"
"191","52","52","52","1000","1000","1000","1000","1000","1000","296","296","296","1000","1000","1000"
"192","121","121","121","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"
"193","85","85","85","1000","1000","1000","1000","1000","1000","171","171","171","1000","1000","1000"
"194","79","79","79","1000","1000","1000","1000","1000","1000","221","221","221","1000","1000","1000"
"195","142","142","142","1000","1000","1000","1000","1000","1000","282","282","282","383","383","383"
"196","157","157","157","1000","1000","1000","1000","1000","1000","141","141","141","1000","1000","1000"
"197","80","80","80","1000","1000","1000","1000","1000","1000","137","137","137","1000","1000","1000"
"198","84","84","84","1000","1000","1000","1000","1000","1000","155","155","155","1000","1000","1000"
"199","78","78","78","1000","1000","1000","1000","1000","1000","110","110","110","1000","1000","1000"
"200","103","103","103","1000","1000","1000","1000","1000","1000","266","266","266","1000","1000","1000"
"201","95","95","95","1000","1000","1000","1000","1000","1000","121","121","121","1000","1000","1000"
"202","180","180","180","1000","1000","1000","1000","1000","1000","109","109","109","1000","1000","1000"
"203","55","55","55","1000","1000","1000","1000","1000","1000","129","129","129","1000","1000","1000"
"204","62","62","62","1000","1000","1000","1000","1000","1000","105","105","105","1000","1000","1000"
"205","71","71","71","896","896","896","1000","1000","1000","149","149","149","1000","1000","1000"
"206","142","142","142","1000","1000","1000","90","90","90","316","316","316","1000","1000","1000"
"207","134","134","134","756","756","756","1000","1000","1000","526","526","526","1000","1000","1000"
"208","115","115","115","1000","1000","1000","1000","1000","1000","126","126","126","875","875","875"
"209","69","69","69","1000","1000","1000","709","709","709","118","118","118","1000","1000","1000"
"210","101","101","101","453","453","453","1000","1000","1000","125","125","125","1000","1000","1000"
"211","146","146","146","1000","1000","1000","598","598","598","134","134","134","646","646","646"
"212","198","198","198","508","508","508","1000","1000","1000","110","110","110","1000","1000","1000"
"213","137","137","137","1000","1000","1000","998","998","998","83","83","83","1000","1000","1000"
"214","88","88","88","1000","1000","1000","1000","1000","1000","105","105","105","1000","1000","1000"
"215","66","66","66","1000","1000","1000","1000","1000","1000","100","100","100","1000","1000","1000"
"216","84","84","84","1000","1000","1000","337","337","337","98","98","98","1000","1000","1000"
"217","80","80","80","1000","1000","1000","1000","1000","1000","133","133","133","1000","1000","1000"
"218","142","142","142","558","558","558","1000","1000","1000","397","397","397","1000","1000","1000"
"219","148","148","148","1000","1000","1000","1000","1000","1000","257","257","257","765","765","765"
"220","252","252","252","1000","1000","1000","1000","1000","1000","142","142","142","1000","1000","1000"
"221","163","163","163","1000","1000","1000","822","822","822","157","157","157","1000","1000","1000"
"222","83","83","83","1000","1000","1000","1000","1000","1000","132","132","132","108","108","108"
"223","95","95","95","1000","1000","1000","1000","1000","1000","77","77","77","81","81","81"
"224","183","183","183","514","514","514","1000","1000","1000","156","156","156","198","198","198"
"225","223","223","223","466","466","466","1000","1000","1000","175","175","175","1000","1000","1000"
"226","140","140","140","757","757","757","449","449","449","545","545","545","508","508","508"
"227","209","209","209","1000","1000","1000","1000","1000","1000","670","670","670","389","389","389"
"228","128","128","128","552","552","552","1000","1000","1000","161","161","161","1000","1000","1000"
"229","219","219","219","1000","1000","1000","1000","1000","1000","164","164","164","686","686","686"
"230","101","101","101","1000","1000","1000","1000","1000","1000","124","124","124","1000","1000","1000"
"231","202","202","202","1000","1000","1000","308","308","308","215","215","215","353","353","353"
"232","296","296","296","890","890","890","1000","1000","1000","149","149","149","106","106","106"
"233","328","328","328","1000","1000","1000","1000","1000","1000","331","331","331","1000","1000","1000"
"234","188","188","188","1000","1000","1000","1000","1000","1000","162","162","162","680","680","680"
"235","152","152","152","1000","1000","1000","1000","1000","1000","200","200","200","1000","1000","1000"
"236","207","207","207","1000","1000","1000","1000","1000","1000","263","263","263","852","852","852"
"237","105","105","105","1000","1000","1000","1000","1000","1000","110","110","110","1000","1000","1000"
"238","302","302","302","1000","1000","1000","1000","1000","1000","221","221","221","1000","1000","1000"
"239","388","388","388","1000","1000","1000","1000","1000","1000","262","262","262","1000","1000","1000"
"240","203","203","203","1000","1000","1000","1000","1000","1000","142","142","142","1000","1000","1000"
"241","152","152","152","1000","1000","1000","1000","1000","1000","156","156","156","1000","1000","1000"
"242","138","138","138","1000","1000","1000","774","774","774","196","196","196","1000","1000","1000"
"243","164","164","164","1000","1000","1000","1000","1000","1000","308","308","308","1000","1000","1000"
"244","264","264","264","1000","1000","1000","553","553","553","157","157","157","1000","1000","1000"
"245","92","92","92","1000","1000","1000","419","419","419","166","166","166","1000","1000","1000"
"246","169","169","169","1000","1000","1000","732","732","732","178","178","178","1000","1000","1000"
"247","277","277","277","1000","1000","1000","1000","1000","1000","312","312","312","1000","1000","1000"
"248","98","98","98","1000","1000","1000","1000","1000","1000","118","118","118","1000","1000","1000"
"249","150","150","150","1000","1000","1000","1000","1000","1000","927","927","927","1000","1000","1000"
"250","161","161","161","1000","1000","1000","373","373","373","186","186","186","1000","1000","1000"
"251","85","85","85","1000","1000","1000","295","295","295","171","171","171","1000","1000","1000"
"252","70","70","70","1000","1000","1000","233","233","233","376","376","376","1000","1000","1000"
"253","94","94","94","1000","1000","1000","269","269","269","103","103","103","1000","1000","1000"
"254","90","90","90","1000","1000","1000","1000","1000","1000","89","89","89","1000","1000","1000"
"255","106","106","106","1000","1000","1000","956","956","956","130","130","130","1000","1000","1000"
"256","123","123","123","1000","1000","1000","1000","1000","1000","92","92","92","1000","1000","1000"
"257","118","118","118","1000","1000","1000","1000","1000","1000","96","96","96","1000","1000","1000"
"258","149","149","149","1000","1000","1000","844","844","844","101","101","101","1000","1000","1000"
"259","65","65","65","1000","1000","1000","1000","1000","1000","111","111","111","1000","1000","1000"
"260","94","94","94","1000","1000","1000","1000","1000","1000","237","237","237","1000","1000","1000"
"261","136","136","136","1000","1000","1000","1000","1000","1000","119","119","119","1000","1000","1000"
"262","113","113","113","1000","1000","1000","1000","1000","1000","210","210","210","1000","1000","1000"
"263","69","69","69","1000","1000","1000","1000","1000","1000","106","106","106","1000","1000","1000"
"264","99","99","99","209","209","209","1000","1000","1000","319","319","319","1000","1000","1000"
"265","120","120","120","1000","1000","1000","1000","1000","1000","276","276","276","1000","1000","1000"
"266","54","54","54","1000","1000","1000","422","422","422","417","417","417","1000","1000","1000"
"267","131","131","131","413","413","413","1000","1000","1000","160","160","160","1000","1000","1000"
"268","141","141","141","747","747","747","449","449","449","119","119","119","1000","1000","1000"
"269","83","83","83","1000","1000","1000","508","508","508","234","234","234","1000","1000","1000"
"270","94","94","94","1000","1000","1000","156","156","156","892","892","892","1000","1000","1000"
"271","59","59","59","1000","1000","1000","567","567","567","249","249","249","1000","1000","1000"
"272","96","96","96","1000","1000","1000","748","748","748","237","237","237","1000","1000","1000"
"273","122","122","122","1000","1000","1000","375","375","375","95","95","95","1000","1000","1000"
"274","56","56","56","1000","1000","1000","1000","1000","1000","248","248","248","1000","1000","1000"
"275","108","108","108","1000","1000","1000","369","369","369","606","606","606","1000","1000","1000"
"276","104","104","104","110","110","110","1000","1000","1000","73","73","73","1000","1000","1000"
"277","111","111","111","1000","1000","1000","1000","1000","1000","117","117","117","1000","1000","1000"
"278","65","65","65","1000","1000","1000","1000","1000","1000","262","262","262","885","885","885"
"279","50","50","50","1000","1000","1000","1000","1000","1000","115","115","115","992","992","992"
"280","95","95","95","1000","1000","1000","1000","1000","1000","132","132","132","1000","1000","1000"
"281","120","120","120","1000","1000","1000","1000","1000","1000","152","152","152","491","491","491"
"282","70","70","70","1000","1000","1000","1000","1000","1000","140","140","140","759","759","759"
"283","204","204","204","1000","1000","1000","1000","1000","1000","201","201","201","928","928","928"
"284","80","80","80","1000","1000","1000","1000","1000","1000","137","137","137","427","427","427"
"285","69","69","69","1000","1000","1000","1000","1000","1000","441","441","441","303","303","303"
"286","108","108","108","1000","1000","1000","1000","1000","1000","121","121","121","714","714","714"
"287","139","139","139","1000","1000","1000","1000","1000","1000","299","299","299","550","550","550"
"288","109","109","109","1000","1000","1000","1000","1000","1000","121","121","121","483","483","483"
"289","236","236","236","1000","1000","1000","1000","1000","1000","113","113","113","496","496","496"
"290","72","72","72","1000","1000","1000","1000","1000","1000","145","145","145","522","522","522"
"291","125","125","125","1000","1000","1000","1000","1000","1000","96","96","96","496","496","496"
"292","162","162","162","1000","1000","1000","1000","1000","1000","145","145","145","378","378","378"
"293","60","60","60","1000","1000","1000","1000","1000","1000","163","163","163","267","267","267"
"294","188","188","188","1000","1000","1000","1000","1000","1000","176","176","176","489","489","489"
"295","71","71","71","1000","1000","1000","1000","1000","1000","147","147","147","232","232","232"
"296","183","183","183","1000","1000","1000","1000","1000","1000","126","126","126","355","355","355"
"297","64","64","64","1000","1000","1000","1000","1000","1000","1000","1000","1000","285","285","285"
"298","96","96","96","1000","1000","1000","1000","1000","1000","185","185","185","276","276","276"
"299","112","112","112","1000","1000","1000","1000","1000","1000","92","92","92","401","401","401"
"300","103","103","103","1000","1000","1000","1000","1000","1000","134","134","134","373","373","373"
"301","90","90","90","1000","1000","1000","1000","1000","1000","89","89","89","276","276","276"
"302","86","86","86","1000","1000","1000","1000","1000","1000","174","174","174","262","262","262"
"303","92","92","92","1000","1000","1000","1000","1000","1000","118","118","118","334","334","334"
"304","44","44","44","1000","1000","1000","1000","1000","1000","782","782","782","247","247","247"
"305","111","111","111","1000","1000","1000","1000","1000","1000","164","164","164","262","262","262"
"306","115","115","115","1000","1000","1000","1000","1000","1000","165","165","165","445","445","445"
"307","86","86","86","1000","1000","1000","1000","1000","1000","213","213","213","246","246","246"
"308","79","79","79","1000","1000","1000","1000","1000","1000","147","147","147","378","378","378"
"309","63","63","63","1000","1000","1000","1000","1000","1000","1000","1000","1000","282","282","282"
"310","45","45","45","1000","1000","1000","1000","1000","1000","517","517","517","311","311","311"
"311","94","94","94","1000","1000","1000","1000","1000","1000","155","155","155","377","377","377"
"312","106","106","106","849","849","849","1000","1000","1000","139","139","139","296","296","296"
"313","45","45","45","1000","1000","1000","1000","1000","1000","1000","1000","1000","277","277","277"
"314","66","66","66","1000","1000","1000","1000","1000","1000","191","191","191","290","290","290"
"315","132","132","132","876","876","876","1000","1000","1000","144","144","144","439","439","439"
"316","152","152","152","931","931","931","1000","1000","1000","180","180","180","348","348","348"
"317","210","210","210","1000","1000","1000","1000","1000","1000","228","228","228","304","304","304"
"318","231","231","231","1000","1000","1000","1000","1000","1000","199","199","199","416","416","416"
"319","95","95","95","1000","1000","1000","1000","1000","1000","239","239","239","286","286","286"
"320","195","195","195","1000","1000","1000","1000","1000","1000","160","160","160","308","308","308"
"321","92","92","92","1000","1000","1000","1000","1000","1000","341","341","341","297","297","297"
"322","135","135","135","1000","1000","1000","1000","1000","1000","148","148","148","445","445","445"
"323","97","97","97","1000","1000","1000","1000","1000","1000","250","250","250","427","427","427"
"324","71","71","71","482","482","482","1000","1000","1000","219","219","219","426","426","426"
"325","120","120","120","357","357","357","1000","1000","1000","159","159","159","379","379","379"
"326","134","134","134","378","378","378","1000","1000","1000","151","151","151","399","399","399"
"327","230","230","230","176","176","176","1000","1000","1000","210","210","210","315","315","315"
"328","57","57","57","150","150","150","1000","1000","1000","392","392","392","276","276","276"
"329","112","112","112","169","169","169","1000","1000","1000","198","198","198","770","770","770"
"330","262","262","262","223","223","223","1000","1000","1000","144","144","144","464","464","464"
"331","80","80","80","146","146","146","1000","1000","1000","618","618","618","412","412","412"
"332","189","189","189","132","132","132","1000","1000","1000","167","167","167","348","348","348"
"333","64","64","64","93","93","93","1000","1000","1000","346","346","346","356","356","356"
"334","239","239","239","182","182","182","1000","1000","1000","119","119","119","593","593","593"
"335","73","73","73","136","136","136","1000","1000","1000","339","339","339","505","505","505"
"336","88","88","88","119","119","119","1000","1000","1000","235","235","235","260","260","260"
"337","86","86","86","176","176","176","1000","1000","1000","231","231","231","397","397","397"
"338","67","67","67","140","140","140","1000","1000","1000","263","263","263","371","371","371"
